City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Device Protection,Tech Support,Streaming TV,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label
Los Angeles,Male,No,No,No,2,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
Los Angeles,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
Los Angeles,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
Los Angeles,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
Los Angeles,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes
Los Angeles,Female,No,Yes,No,10,Yes,No,DSL,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes
Los Angeles,Male,Yes,No,No,1,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
Los Angeles,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes
Los Angeles,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes
Los Angeles,Male,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes
Los Angeles,Female,No,No,No,17,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
Los Angeles,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
Los Angeles,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
Los Angeles,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes
Los Angeles,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Yes
Los Angeles,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes
Los Angeles,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
Los Angeles,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes
Beverly Hills,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes
Huntington Park,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,Yes
Lynwood,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes
Marina Del Rey,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes
Inglewood,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes
Inglewood,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
Santa Monica,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes
Torrance,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
Whittier,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
